time,Open,High,Low,Close,Volume,ema_20,ema_50,ema_200,rsi,MACD_36_72_24,MACDh_36_72_24,MACDs_36_72_24,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,atr,obv,PP,R1,R2,R3,S1,S2,S3
2024-01-04 22:00:00,0.8952,0.89658,0.89506,0.89596,5562,,,,,,,,,,,,,,5562.0,0.8958666666666667,0.8966733333333334,0.8973866666666668,0.8989066666666669,0.8951533333333334,0.8943466666666666,0.8928266666666665
2024-01-05 02:00:00,0.89596,0.89668,0.89466,0.89572,5752,,,,,,,,,,,,,,-190.0,0.8956866666666666,0.8967133333333333,0.8977066666666667,0.8997266666666667,0.8946933333333332,0.8936666666666666,0.8916466666666666
2024-01-05 06:00:00,0.8957,0.89629,0.89332,0.89358,10400,,,,,,,,,,,,,,-10590.0,0.8943966666666667,0.8954733333333335,0.8973666666666668,0.9003366666666668,0.8925033333333334,0.8914266666666667,0.8884566666666667
2024-01-05 10:00:00,0.89359,0.89431,0.88974,0.89322,15379,,,,,,,,,,,,,,-25969.0,0.8924233333333333,0.8951066666666667,0.8969933333333334,0.9015633333333335,0.8905366666666666,0.8878533333333333,0.8832833333333332
2024-01-05 14:00:00,0.89324,0.8978,0.89314,0.89581,29803,,,,,,,,,,,,,,3834.0,0.8955833333333333,0.8980266666666665,0.9002433333333333,0.9049033333333333,0.8933666666666665,0.8909233333333333,0.8862633333333333
2024-01-05 18:00:00,0.89574,0.89787,0.89536,0.89732,8505,,,,,,,,,,,,,,12339.0,0.89685,0.89834,0.8993599999999999,0.9018699999999998,0.8958300000000001,0.8943400000000001,0.8918300000000002
2024-01-07 22:00:00,0.8968,0.89883,0.89634,0.89828,4550,,,,,,,,,,,,,,16889.0,0.8978166666666668,0.8992933333333336,0.9003066666666668,0.9027966666666668,0.8968033333333336,0.8953266666666668,0.8928366666666668
2024-01-08 02:00:00,0.89827,0.89834,0.89547,0.89606,6444,,,,,,,,,,,,,,10445.0,0.8966233333333333,0.8977766666666667,0.8994933333333334,0.9023633333333334,0.8949066666666666,0.8937533333333333,0.8908833333333332
2024-01-08 06:00:00,0.89605,0.8972,0.8949,0.89606,13450,,,,,,,,,,,,,,10445.0,0.8960533333333333,0.8972066666666665,0.8983533333333332,0.9006533333333332,0.8949066666666665,0.8937533333333333,0.8914533333333333
2024-01-08 10:00:00,0.89608,0.8963,0.89392,0.89501,10830,,,,,,,,,,,,,,-385.0,0.8950766666666667,0.8962333333333334,0.8974566666666667,0.8998366666666666,0.8938533333333335,0.8926966666666668,0.8903166666666669
