time,Open,High,Low,Close,Volume,ema_20,ema_50,ema_200,rsi,MACD_36_72_24,MACDh_36_72_24,MACDs_36_72_24,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,atr,obv,PP,R1,R2,R3,S1,S2,S3
2024-01-10 18:00:00,35.094,35.115,35.076,35.079,349,34.92002227904011,,,,,,,34.672047301496676,34.938399999999994,35.20475269850331,1.5246988900654792,0.7639357528383638,0.15045052894826794,19343.0,35.09,35.104000000000006,35.129000000000005,35.168000000000006,35.065000000000005,35.051,35.012
2024-01-10 22:00:00,35.07,35.097,35.009,35.034,983,34.93087730008391,,,,,,,34.701376667746814,34.9534,35.20542333225319,1.4420533181503827,0.6599058295107066,0.14614019934316064,18360.0,35.04666666666666,35.08433333333332,35.13466666666666,35.22266666666666,34.99633333333332,34.95866666666666,34.87066666666666
2024-01-11 02:00:00,35.036,35.058,34.984,34.998,1511,34.937269938171156,,,58.55819019230737,,,,34.746340058701826,34.968650000000004,35.19095994129818,1.271481405763037,0.5660114429174974,0.1412654141874905,16849.0,35.01333333333333,35.042666666666655,35.087333333333326,35.161333333333324,34.96866666666666,34.93933333333333,34.86533333333333
2024-01-11 06:00:00,34.998,35.057,34.92,35.056,2010,34.948577563107236,,,60.50544751843132,,,,34.831112480853825,34.99025,35.14938751914618,0.9096106438003609,0.7065823331693347,0.1409828231014542,18859.0,35.011,35.102000000000004,35.148,35.285000000000004,34.965,34.874,34.737
2024-01-11 10:00:00,35.058,35.156,34.964,35.15,5298,34.967760652335116,,,63.408119675275785,,,,34.82466836596807,34.99835,35.17203163403193,0.9925132700937579,0.936574658124524,0.14430097347816834,24157.0,35.09,35.21600000000001,35.282000000000004,35.474000000000004,35.02400000000001,34.898,34.706
2024-01-11 14:00:00,35.148,35.23,35.022,35.218,5588,34.991592971160344,,,65.32831565524351,,,,34.80960674374332,35.00775,35.20589325625668,1.1319965222368078,1.0305504814346058,0.14837301142612805,29745.0,35.156666666666666,35.291333333333334,35.364666666666665,35.57266666666666,35.083333333333336,34.94866666666667,34.74066666666667
2024-01-11 18:00:00,35.216,35.218,35.064,35.077,752,34.999726973906974,,,58.67754830902682,,,,34.80976760816695,35.009949999999996,35.21013239183304,1.1435742800720703,0.667472272126517,0.14872695176657594,28993.0,35.11966666666667,35.175333333333334,35.27366666666667,35.427666666666674,35.02133333333333,34.965666666666664,34.81166666666666
2024-01-11 22:00:00,35.076,35.144,34.986,35.028,2024,35.002419643058694,,,56.59194989872655,,,,34.82075374907474,35.0158,35.21084625092526,1.114047092599677,0.5312746334321365,0.1493014518571978,26969.0,35.05266666666666,35.11933333333332,35.21066666666666,35.36866666666666,34.96133333333332,34.89466666666666,34.73666666666666
2024-01-12 02:00:00,35.028,35.088,35.026,35.058,2025,35.00771301038644,,,57.55411210067341,,,,34.826362619457534,35.0206,35.21483738054247,1.109275001241943,0.5962739507080126,0.1439692354582081,28994.0,35.05733333333333,35.08866666666666,35.11933333333333,35.18133333333333,35.026666666666664,34.995333333333335,34.93333333333334
2024-01-12 06:00:00,35.059,35.105,35.02,35.058,3076,35.01250224749249,,,57.55411210067341,,,,34.85843724125226,35.03205,35.205662758747735,0.9911652829208509,0.5747352907331759,0.14041533267291195,28994.0,35.061,35.102,35.145999999999994,35.23099999999999,35.017,34.976000000000006,34.89100000000001
