time,Open,High,Low,Close,Volume,ema_20,ema_50,ema_200,rsi,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,atr,obv,PP,R1,R2,R3,S1,S2,S3
2023-12-29 22:00:00,0.68116,0.68392,0.66406,0.67162,230184,,,,,,,,,,,230184.0,0.6732,0.6823400000000001,0.69306,0.71292,0.6624800000000001,0.65334,0.63348
2024-01-05 22:00:00,0.6717,0.67348,0.66471,0.66858,251744,,,,,,,,,,,-21560.0,0.6689233333333333,0.6731366666666666,0.6776933333333333,0.6864633333333332,0.6643666666666667,0.6601533333333334,0.6513833333333334
2024-01-12 22:00:00,0.66868,0.67046,0.6525,0.65972,248027,,,,,,,,,,,-269587.0,0.6608933333333332,0.6692866666666665,0.6788533333333332,0.6968133333333332,0.6513266666666665,0.6429333333333332,0.6249733333333333
2024-01-19 22:00:00,0.65948,0.66211,0.65516,0.65762,252979,,,,,,,,,,,-522566.0,0.6582966666666666,0.6614333333333333,0.6652466666666667,0.6721966666666667,0.6544833333333333,0.6513466666666666,0.6443966666666666
2024-01-26 22:00:00,0.65725,0.66244,0.65024,0.65126,275199,,,,,,,,,,,-797765.0,0.6546466666666667,0.6590533333333334,0.6668466666666667,0.6790466666666667,0.6468533333333334,0.6424466666666667,0.6302466666666667
2024-02-02 22:00:00,0.65112,0.65402,0.64688,0.65242,214147,,,,,,,,,,,-583618.0,0.6511066666666666,0.6553333333333332,0.6582466666666666,0.6653866666666667,0.6481933333333332,0.6439666666666666,0.6368266666666665
2024-02-09 22:00:00,0.6521,0.65446,0.64428,0.65308,189239,,,,,,,,,,,-394379.0,0.6506066666666667,0.6569333333333334,0.6607866666666667,0.6709666666666668,0.6467533333333333,0.6404266666666666,0.6302466666666665
2024-02-16 22:00:00,0.65311,0.6595,0.65215,0.65642,181435,,,,,,,,,,,-212944.0,0.6560233333333333,0.6598966666666666,0.6633733333333333,0.6707233333333332,0.6525466666666666,0.6486733333333333,0.6413233333333334
2024-02-23 22:00:00,0.65658,0.6567,0.6487,0.65247,202863,,,,,,,,,,,-415807.0,0.6526233333333334,0.6565466666666668,0.6606233333333333,0.6686233333333332,0.6485466666666669,0.6446233333333335,0.6366233333333337
2024-03-01 22:00:00,0.65266,0.66677,0.64775,0.66251,215982,,,,,,,,,,,-199825.0,0.65901,0.6702699999999999,0.6780299999999999,0.6970499999999998,0.65125,0.6399900000000001,0.6209700000000001
2024-03-08 22:00:00,0.66274,0.6639,0.6552,0.65602,192461,,,,,,,,,,,-392286.0,0.6583733333333334,0.6615466666666667,0.6670733333333334,0.6757733333333334,0.6528466666666667,0.6496733333333333,0.6409733333333333
2024-03-15 21:00:00,0.65614,0.66347,0.6504,0.65146,193975,,,,,,,,,,,-586261.0,0.6551100000000001,0.6598200000000002,0.6681800000000001,0.6812500000000001,0.6467500000000002,0.64204,0.62897
2024-03-22 21:00:00,0.65145,0.65591,0.64854,0.6516,148907,,,,,,,,,,,-437354.0,0.6520166666666667,0.6554933333333334,0.6593866666666667,0.6667566666666667,0.6481233333333334,0.6446466666666667,0.6372766666666667
2024-03-29 21:00:00,0.65184,0.6619,0.64809,0.65792,161404,,,,,,,,,,,-275950.0,0.6559699999999999,0.6638499999999998,0.6697799999999999,0.6835899999999999,0.6500399999999998,0.64216,0.62835
2024-04-05 21:00:00,0.65748,0.66444,0.64561,0.64622,220638,,,,,,,,,,,-496588.0,0.65209,0.6585699999999999,0.67092,0.68975,0.6397399999999999,0.6332599999999999,0.6144299999999999
2024-04-12 21:00:00,0.6466,0.64932,0.63623,0.64176,260810,,,,,,,,,,,-757398.0,0.6424366666666667,0.6486433333333333,0.6555266666666667,0.6686166666666667,0.6355533333333333,0.6293466666666666,0.6162566666666666
2024-04-19 21:00:00,0.64148,0.65544,0.64133,0.65338,187836,,,,,,,,,,,-569562.0,0.6500499999999999,0.6587699999999999,0.66416,0.67827,0.6446599999999998,0.6359399999999998,0.6218299999999998
2024-04-26 21:00:00,0.6531,0.66494,0.64653,0.66097,224743,,,,,,,,,,,-344819.0,0.65748,0.6684299999999999,0.6758899999999999,0.6942999999999998,0.6500199999999999,0.63907,0.6206600000000001
2024-05-03 21:00:00,0.66188,0.66439,0.6558,0.66034,143316,,,,,,,,,,,-488135.0,0.6601766666666667,0.6645533333333334,0.6687666666666667,0.6773566666666667,0.6559633333333335,0.6515866666666668,0.6429966666666668
2024-05-10 21:00:00,0.66025,0.67141,0.65794,0.66935,154695,0.656736,,,,0.6420567269934782,0.656736,0.6714152730065218,4.470372571785872,0.9296534301935716,,-333440.0,0.6662333333333333,0.6745266666666667,0.6797033333333333,0.6931733333333333,0.6610566666666667,0.6527633333333334,0.6392933333333334
2024-05-17 21:00:00,0.66944,0.67094,0.65922,0.6628,172582,0.6573135238095238,,,,0.6429626761215458,0.656295,0.6696273238784541,4.062905820844034,0.7439559696907921,,-506022.0,0.66432,0.66942,0.67604,0.6877599999999999,0.6577000000000001,0.6526000000000001,0.6408800000000001
2024-05-24 21:00:00,0.66264,0.66799,0.65908,0.66536,178784,0.6580798548752834,,,,0.6433317433239292,0.656134,0.6689362566760708,3.9023299131186078,0.8603270983171514,,-327238.0,0.6641433333333333,0.6692066666666666,0.6730533333333333,0.6819633333333333,0.6602966666666666,0.6552333333333333,0.6463233333333334
2024-05-31 21:00:00,0.66547,0.66986,0.6579,0.65802,227713,0.6580741544109707,,,,0.6433207481168859,0.656049,0.6687772518831141,3.8802747609139274,0.5774261861762366,,-554951.0,0.6619266666666667,0.6659533333333333,0.6738866666666666,0.6858466666666666,0.6539933333333333,0.6499666666666667,0.6380066666666667
2024-06-07 21:00:00,0.65804,0.67043,0.65761,0.6615,225850,0.6584004254194498,,,,0.6433082822218651,0.656243,0.669177717778135,3.9420512761690194,0.7032127832308208,,-329101.0,0.66318,0.66875,0.6759999999999999,0.6888199999999999,0.65593,0.65036,0.6375400000000001
2024-06-14 21:00:00,0.66078,0.66794,0.65854,0.66406,158176,0.6589394325223593,,,,0.6437329595437885,0.656883,0.6700330404562115,4.00376945550775,0.7728888942927129,,-170925.0,0.6635133333333334,0.6684866666666668,0.6729133333333334,0.6823133333333333,0.6590866666666668,0.6541133333333334,0.6447133333333335
2024-06-21 21:00:00,0.664,0.66886,0.66198,0.66699,198369,0.6597061532345155,,,,0.6439276653400812,0.6576115,0.6712953346599189,4.16167742197904,0.8426853741323843,,27444.0,0.6659433333333333,0.6699066666666667,0.6728233333333333,0.6797033333333333,0.6630266666666667,0.6590633333333333,0.6521833333333333
2024-06-28 21:00:00,0.66822,0.6753,0.66342,0.6749,210286,0.6611531862597998,,,,0.643270139357506,0.6587025,0.674134860642494,4.685684551825439,1.0247900945043769,,237730.0,0.6712066666666666,0.6789933333333332,0.6830866666666666,0.6949666666666666,0.6671133333333332,0.6593266666666666,0.6474466666666666
2024-07-05 21:00:00,0.67372,0.67986,0.6724,0.67842,287144,0.6627976447112474,,,,0.6421947813800313,0.6598025000000001,0.6774102186199689,5.337269446529467,1.028674395639364,,524874.0,0.6768933333333335,0.6813866666666669,0.6843533333333335,0.6918133333333335,0.6739266666666669,0.6694333333333334,0.6619733333333334
2024-07-12 21:00:00,0.6773,0.67888,0.66802,0.66848,348668,0.6633388214054142,,,,0.642945841564963,0.6606029999999999,0.6782601584350368,5.345769981376683,0.7230540103318601,0.011311486576789606,176206.0,0.6717933333333334,0.6755666666666668,0.6826533333333334,0.6935133333333335,0.6647066666666667,0.6609333333333333,0.6500733333333332
2024-07-19 21:00:00,0.66915,0.67024,0.65138,0.65472,349225,0.6625179812715652,,,,0.6423988147375544,0.6602135,0.6780281852624456,5.396643740985473,0.3458154068098898,0.01172516465600527,-173019.0,0.6587799999999999,0.6661799999999999,0.6776399999999999,0.6964999999999999,0.6473199999999999,0.6399199999999999,0.62106
2024-07-26 21:00:00,0.655,0.65686,0.64796,0.65112,425585,0.6614324592457019,,,,0.641798630132552,0.6599685,0.6781383698674479,5.506283971870764,0.25650623629802743,0.011573238334030789,-598604.0,0.65198,0.656,0.66088,0.66978,0.6471,0.64308,0.63418
